symbol,shortName,longName,exchange,market,quoteType
CME,cme,CME Group Inc.,NASDAQ,us_market,EQUITY
EQIX,equinix,"Equinix, Inc.",NASDAQ,us_market,EQUITY
COIN,coinbase,"Coinbase Global, Inc.",NASDAQ,us_market,EQUITY
TROW,holdings,"T. Rowe Price Group, Inc.",NASDAQ,us_market,EQUITY
SBAC,,SBA Communications Corporation,NASDAQ,us_market,EQUITY
IBKR,interactive-brokers-group,"Interactive Brokers Group, Inc.",NASDAQ,us_market,EQUITY
NDAQ,nasdaq,"Nasdaq, Inc.",NASDAQ,us_market,EQUITY
CSGP,costar-group,"CoStar Group, Inc.",NASDAQ,us_market,EQUITY
NTRS,northern-trust,Northern Trust Corporation,NASDAQ,us_market,EQUITY
TW,,Tradeweb Markets Inc.,NASDAQ,us_market,EQUITY
CG,the-carlyle-group,The Carlyle Group Inc.,NASDAQ,us_market,EQUITY
XP,xp,XP Inc.,NASDAQ,us_market,EQUITY
ZG,zillow-group,"Zillow Group, Inc.",NASDAQ,us_market,EQUITY
Z,zillow-group,"Zillow Group, Inc.",NASDAQ,us_market,EQUITY
LPLA,lpl-finl,LPL Financial Holdings Inc.,NASDAQ,us_market,EQUITY
MKTX,marketaxess,"MarketAxess Holdings, Inc.",NASDAQ,us_market,EQUITY
REG,regency-centers,Regency Centers Corporation,NASDAQ,us_market,EQUITY
HOOD,robinhood,"Robinhood Markets, Inc.",NASDAQ,us_market,EQUITY
HST,,Host Hotels,NASDAQ,us_market,EQUITY
MORN,morningstar,"Morningstar, Inc.",NASDAQ,us_market,EQUITY
LAMR,,Lamar Advertising Company,NASDAQ,us_market,EQUITY
CONE,,CyrusOne Inc,NASDAQ,us_market,EQUITY
GLPI,,"Gaming and Leisure Properties, Inc.",NASDAQ,us_market,EQUITY
SOFI,sofi,"SoFi Technologies, Inc.",NASDAQ,us_market,EQUITY
UPST,upstart,"Upstart Holdings, Inc.",NASDAQ,us_market,EQUITY
SEIC,sei-investment,SEI Investments Company,NASDAQ,us_market,EQUITY
CACC,credit-acceptance,Credit Acceptance Corporation,NASDAQ,us_market,EQUITY
AGNC,agnc-investment,AGNC Investment Corp.,NASDAQ,us_market,EQUITY
FSV,firstservice,FirstService Corporation,NASDAQ,us_market,EQUITY
OPEN,opendoor,Opendoor Technologies Inc,NASDAQ,us_market,EQUITY
FUTU,futu-holdings,Futu Holdings Limited,NASDAQ,us_market,EQUITY
CIGI,colliers-intl-group,Colliers International Group Inc. - Subordinate Voting Shares,NASDAQ,us_market,EQUITY
SLM,slm,SLM Corporation,NASDAQ,us_market,EQUITY
VIRT,virtu-financial,"Virtu Financial, Inc.",NASDAQ,us_market,EQUITY
HLNE,hamilton-lane,Hamilton Lane Incorporated,NASDAQ,us_market,EQUITY
EXPI,exp-world,"eXp World Holdings, Inc.",NASDAQ,us_market,EQUITY
STEP,,StepStone Group Inc.,NASDAQ,us_market,EQUITY
FOCS,focus-financial-partners,Focus Financial Partners Inc.,NASDAQ,us_market,EQUITY
FRHC,freedom-holding,Freedom Holding Corp.,NASDAQ,us_market,EQUITY
PCH,,PotlatchDeltic Corporation - Common Stock,NASDAQ,us_market,EQUITY
ACT,,"Enact Holdings, Inc.",NASDAQ,us_market,EQUITY
NMRK,newmark-group,"Newmark Group, Inc.",NASDAQ,us_market,EQUITY
NAVI,navient,Navient Corporation,NASDAQ,us_market,EQUITY
RDFN,redfin,Redfin Corporation,NASDAQ,us_market,EQUITY
COOP,mr-cooper-group,Mr. Cooper Group Inc.,NASDAQ,us_market,EQUITY
SBRA,,"Sabra Health Care REIT, Inc.",NASDAQ,us_market,EQUITY
QFIN,360-finance,"360 DigiTech, Inc.",NASDAQ,us_market,EQUITY
UNIT,,Uniti Group Inc.,NASDAQ,us_market,EQUITY
FCFS,firstcash,"FirstCash Holdings, Inc.",NASDAQ,us_market,EQUITY
MARA,marathon-patent,"Marathon Digital Holdings, Inc.",NASDAQ,us_market,EQUITY
PECO,phillips-edison-and-company,"Phillips Edison & Company, Inc.",NASDAQ,us_market,EQUITY
DWAC,digital-world-acquisition-corp,Digital World Acquisition Corp.,NASDAQ,us_market,EQUITY
LPRO,,Open Lending Corporation,NASDAQ,us_market,EQUITY
ROIC,,Retail Opportunity Investments Corp.,NASDAQ,us_market,EQUITY
RIOT,riot-blockchain,"Riot Blockchain, Inc",NASDAQ,us_market,EQUITY
VCTR,,"Victory Capital Holdings, Inc. Class A Common Stock",NASDAQ,us_market,EQUITY
RILY,,"B. Riley Financial, Inc.",NASDAQ,us_market,EQUITY
PAX,,Patria Investments Limited,NASDAQ,us_market,EQUITY
CTRE,,"CareTrust REIT, Inc.",NASDAQ,us_market,EQUITY
PRAA,pra-group,"PRA Group, Inc.",NASDAQ,us_market,EQUITY
VRTS,,"Virtus Investment Partners, Inc.",NASDAQ,us_market,EQUITY
MKTW,,"MarketWise, Inc.",NASDAQ,us_market,EQUITY
DAVE,,Dave Inc.,NASDAQ,us_market,EQUITY
ECPG,,Encore Capital Group Inc,NASDAQ,us_market,EQUITY
GCMG,,GCM Grosvenor Inc.,NASDAQ,us_market,EQUITY
TREE,lendingtree,"LendingTree, Inc.",NASDAQ,us_market,EQUITY
ILPT,,Industrial Logistics Properties Trust,NASDAQ,us_market,EQUITY
BGCP,bgc-partners,"BGC Partners, Inc.",NASDAQ,us_market,EQUITY
SVC,,Service Properties Trust - Shares of Beneficial Interest,NASDAQ,us_market,EQUITY
WRLD,,World Acceptance Corporation,NASDAQ,us_market,EQUITY
NYMT,,"New York Mortgage Trust, Inc.",NASDAQ,us_market,EQUITY
OPI,,Office Properties Income Trust,NASDAQ,us_market,EQUITY
NMFC,,New Mountain Finance Corporation,NASDAQ,us_market,EQUITY
SNEX,,StoneX Group Inc.,NASDAQ,us_market,EQUITY
LWLG,lightwave-logic,"Lightwave Logic, Inc.",NASDAQ,us_market,EQUITY
LAND,,Gladstone Land Corporation,NASDAQ,us_market,EQUITY
GGPI,gores-guggenheim,"Gores Guggenheim, Inc.",NASDAQ,us_market,EQUITY
PWP,,Perella Weinberg Partners,NASDAQ,us_market,EQUITY
RADI,,"Radius Global Infrastructure, Inc.",NASDAQ,us_market,EQUITY
RMR,the-rmr-group,The RMR Group Inc.,NASDAQ,us_market,EQUITY
HERA,,FTAC Hera Acquisition Corp.,NASDAQ,us_market,EQUITY
AFIN,,"American Finance Trust, Inc.",NASDAQ,us_market,EQUITY
COWN,cowen,Cowen Inc.,NASDAQ,us_market,EQUITY
GOOD,,Gladstone Commercial Corporation - Real Estate Investment Trust,NASDAQ,us_market,EQUITY
SGML,,Sigma Lithium Corporation,NASDAQ,us_market,EQUITY
WETF,,"WisdomTree Investments, Inc.",NASDAQ,us_market,EQUITY
HIVE,hive-blockchain-technologies,Hive Blockchain Technologies Ltd.,NASDAQ,us_market,EQUITY
CONX,,CONX Corp.,NASDAQ,us_market,EQUITY
BCOR,blucora,"Blucora, Inc.",NASDAQ,us_market,EQUITY
INDT,,"INDUS Realty Trust, Inc.",NASDAQ,us_market,EQUITY
DHC,,Diversified Healthcare Trust,NASDAQ,us_market,EQUITY
ETAC,,E.Merge Technology Acquisition Corp.,NASDAQ,us_market,EQUITY
SVFA,,SVF Investment Corp.,NASDAQ,us_market,EQUITY
LMACA,,Liberty Media Acquisition Corporation - Series A,NASDAQ,us_market,EQUITY
BTWN,,Bridgetown Holdings Limited,NASDAQ,us_market,EQUITY
